memoryKey,userKey,type,category,importance,accessCount,hasExpiry,hasMetadata,hasSourceSignal,hasConversationLink,hasConflictFlag,hasArchivedFlag,consentState,sensitivityTier,provenanceState,retentionState,disposition,closureState,nextAction,consumerPolicy
cfbcca8be750784b440fc1e0,a3e2396b71ceb51acb959fc6,FACT,test_score,0.8644752166568814,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
1d8d197c2261e01ddacfcd7f,7474e419a4cf4bf9fc35962c,FACT,test_score,0.8643766473290425,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
4c0502d732053a34655a1a59,7474e419a4cf4bf9fc35962c,FACT,test_score,0.8149836960245037,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
b9d664cb49516a9c1e519680,66ab1cb9a2a8f0fd73bdd381,FACT,test_score,0.8150845255029505,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
75037d38f3a9906f66f83d4a,839e342bc77197b9adf45bd3,FACT,test_score,0.8149823946032061,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
2cb5f6ce1b07c2c3c140425c,66ab1cb9a2a8f0fd73bdd381,FACT,test_score,0.8644835877421267,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
dc1439ae8a792bc27d31fcd1,0454f0a72b2c094e6d6d7f71,DECISION,school_recommendation,0.8396803554237061,0,false,true,false,false,false,false,missing_preference_row,medium,weak_metadata_only,long_lived_allowed_by_type,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,weak_state_only_until_source_consent_retention_review
1459ef6f38a8055ed8cb6b8b,d0e4253985cba8e289e900ac,FACT,test_score,0.8644767090891425,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
0268544b54f7f6089b7af1fe,832d89b12cc54acf96a4c3be,FACT,test_score,0.8644816221183759,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
d97eeb6d4db224b33ef7721e,b71a8640396eb8fdde726744,FACT,test_score,0.8150830033458716,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
0f98fcf0bb59e4e0d5c5def7,787856073e65281e1f84d958,FACT,test_score,0.8150783413293838,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
ee1d461d0cfe14f94967cf6d,875833987e2b62cb7ddbfe82,FACT,test_score,0.814978466495859,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
774e4e67806947e4934a8adf,0454f0a72b2c094e6d6d7f71,FEEDBACK,improvement,0.5572080886921656,8,false,true,false,false,false,false,missing_preference_row,medium,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,weak_state_only_until_source_consent_retention_review
14ad6970ac6745d731a01765,832d89b12cc54acf96a4c3be,FACT,test_score,0.8150826722830403,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
588fdbf0b274b8e74d2492d0,1aba494c20482f7428d5ee38,FACT,test_score,0.8150767612376364,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
0bf1df0402459e45e3ce7dcb,0454f0a72b2c094e6d6d7f71,DECISION,school_recommendation,0.8594404026022042,10,false,true,false,false,false,false,missing_preference_row,medium,weak_metadata_only,long_lived_allowed_by_type,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,weak_state_only_until_source_consent_retention_review
d0c1c1591249c64edbce5b8b,a3e2396b71ceb51acb959fc6,FACT,test_score,0.8150766328120641,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
a2fe21c74a1bb8a0cd231d39,66ab1cb9a2a8f0fd73bdd381,FACT,test_score,0.8644835876926803,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
c8a22fc67e050ad4296ad49e,b71a8640396eb8fdde726744,FACT,test_score,0.864481973241818,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
8cce68bd31aaa90402ed04b7,7f2cc6c7372a4cd8e30d361f,FACT,test_score,0.8641270137758275,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
95fec1cb4f1069852fafb536,c0678f660ded4d9238e9eb1c,FACT,test_score,0.8643795448659127,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
