schoolId,schoolName,usNewsRank,field,bucket,action,status,hasValue,hasSourceUrl,hasCandidateEvidence,candidateEvidenceCount,disposition,closureState,nextAction,sourceQuality,consumerPolicy
cmnwr8ivt004oz0tin9oyxi60,School of the Art Institute of Chicago,3,sat25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,2,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8ivt004oz0tin9oyxi60,School of the Art Institute of Chicago,3,sat75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,2,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8ivt004oz0tin9oyxi60,School of the Art Institute of Chicago,3,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,2,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8ivt004oz0tin9oyxi60,School of the Art Institute of Chicago,3,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,2,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iut0044z0tie7749l79,Swarthmore College,3,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,5,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iut0044z0tie7749l79,Swarthmore College,3,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,5,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8ivw004pz0tie74ukvke,California Institute of the Arts,4,sat25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8ivw004pz0tie74ukvke,California Institute of the Arts,4,sat75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8ivw004pz0tie74ukvke,California Institute of the Arts,4,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8ivw004pz0tie74ukvke,California Institute of the Arts,4,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iwa004xz0tiygic7c6r,New England Conservatory,4,sat25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iwa004xz0tiygic7c6r,New England Conservatory,4,sat75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iwa004xz0tiygic7c6r,New England Conservatory,4,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iwa004xz0tiygic7c6r,New England Conservatory,4,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iuv0045z0tiq1lprcv8,Pomona College,4,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iuv0045z0tiq1lprcv8,Pomona College,4,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8ivx004qz0ti7xo8qk4m,ArtCenter College of Design,5,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8ivx004qz0ti7xo8qk4m,ArtCenter College of Design,5,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8is1002xz0ti23uxhu2j,"California Polytechnic State University, San Luis Obispo",5,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,5,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8is1002xz0ti23uxhu2j,"California Polytechnic State University, San Luis Obispo",5,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,5,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iwc004yz0tif1a6h2el,Manhattan School of Music,5,sat25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,3,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iwc004yz0tif1a6h2el,Manhattan School of Music,5,sat75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,3,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iwc004yz0tif1a6h2el,Manhattan School of Music,5,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,4,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iwc004yz0tif1a6h2el,Manhattan School of Music,5,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,4,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iux0046z0tilggqkjw6,Wellesley College,5,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,5,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iux0046z0tilggqkjw6,Wellesley College,5,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,5,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmn1htkna0004vqf2erll9srp,Yale University,5,eaAcceptanceRate,legacy,source-candidate-review,,true,true,true,5,review_candidate_evidence_before_publish,review,review,candidate_evidence_review,review_queue_only_candidate_evidence_not_a_fact
cmnwr8iuy0047z0tijtdlowua,Bowdoin College,6,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,5,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iuy0047z0tijtdlowua,Bowdoin College,6,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,5,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8ivz004rz0tik286u7ol,Savannah College of Art and Design,6,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8ivz004rz0tik286u7ol,Savannah College of Art and Design,6,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
