field,surfaceId,severity,closureState,disposition,recommendedAction,implementationTargets
"programRates","prediction_engine","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/prediction/counselor/counselor-engine.module.ts|apps/api/src/modules/prediction/counselor/counselor-engine.service.spec.ts|apps/api/src/modules/prediction/counselor/counselor-engine.service.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.ts|apps/api/src/modules/prediction/distillation/teachers/expanded-teachers.service.spec.ts|apps/api/src/modules/prediction/distillation/teachers/major-selectivity-teacher.service.ts|apps/api/src/modules/prediction/dto/prediction-response.dto.ts|apps/api/src/modules/prediction/prediction-hook-modifiers.service.ts|apps/api/src/modules/prediction/prediction-statistical-engine.service.ts|apps/api/src/modules/prediction/prediction-workflow.service.spec.ts|apps/api/src/modules/prediction/prediction-workflow.service.ts|apps/api/src/modules/prediction/prediction.service.spec.ts|apps/api/src/modules/prediction/prediction.service.ts|packages/shared/src/scoring/major-lookup.ts"
"sat25","prediction_engine","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/prediction/counselor/anchor-resolver.service.spec.ts|apps/api/src/modules/prediction/counselor/anchor-resolver.service.ts|apps/api/src/modules/prediction/counselor/counselor-backfill.service.spec.ts|apps/api/src/modules/prediction/counselor/counselor-engine.service.spec.ts|apps/api/src/modules/prediction/counselor/counselor-engine.service.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.spec.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.ts|apps/api/src/modules/prediction/distillation/teachers/scorecard-teacher.service.spec.ts|apps/api/src/modules/prediction/distillation/teachers/scorecard-teacher.service.ts|apps/api/src/modules/prediction/dto/prediction-response.dto.ts|apps/api/src/modules/prediction/prediction-hook-modifiers.service.spec.ts|apps/api/src/modules/prediction/prediction-transformer.service.spec.ts|apps/api/src/modules/prediction/prediction-transformer.service.ts|apps/api/src/modules/prediction/prediction.prompts.ts|apps/api/src/modules/prediction/prediction.service.spec.ts|apps/api/src/modules/prediction/prediction.service.ts|packages/shared/src/scoring/features.ts|packages/shared/src/scoring/score.ts|packages/shared/src/scoring/types.ts"
"sat75","prediction_engine","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/prediction/counselor/anchor-resolver.service.spec.ts|apps/api/src/modules/prediction/counselor/anchor-resolver.service.ts|apps/api/src/modules/prediction/counselor/counselor-backfill.service.spec.ts|apps/api/src/modules/prediction/counselor/counselor-engine.service.spec.ts|apps/api/src/modules/prediction/counselor/counselor-engine.service.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.spec.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.ts|apps/api/src/modules/prediction/distillation/teachers/scorecard-teacher.service.spec.ts|apps/api/src/modules/prediction/distillation/teachers/scorecard-teacher.service.ts|apps/api/src/modules/prediction/dto/prediction-response.dto.ts|apps/api/src/modules/prediction/prediction-hook-modifiers.service.spec.ts|apps/api/src/modules/prediction/prediction-transformer.service.spec.ts|apps/api/src/modules/prediction/prediction-transformer.service.ts|apps/api/src/modules/prediction/prediction.prompts.ts|apps/api/src/modules/prediction/prediction.service.spec.ts|apps/api/src/modules/prediction/prediction.service.ts|packages/shared/src/scoring/features.ts|packages/shared/src/scoring/score.ts|packages/shared/src/scoring/types.ts"
"testingPolicy","prediction_engine","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/prediction/counselor/counselor-modifiers.spec.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.ts|apps/api/src/modules/prediction/prediction-statistical-engine.service.ts|apps/api/src/modules/prediction/prediction-transformer.service.ts|apps/api/src/modules/prediction/prediction.prompts.ts|packages/shared/src/scoring/features.ts|packages/shared/src/scoring/score.ts|packages/shared/src/scoring/types.ts"
"acceptanceRate","web_prediction_results","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/web/src/components/features/prediction/AiContextActions.test.tsx|apps/web/src/components/features/prediction/AiContextActions.tsx|apps/web/src/components/features/prediction/PredictionResultCard.tsx|apps/web/src/components/features/prediction/RateBreakdownPanel.tsx|apps/web/src/components/features/prediction/SchoolSelectorCard.tsx|apps/web/src/components/features/prediction/types.ts|apps/web/src/hooks/use-prediction.ts"
"acceptanceRate","web_school_pages","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/web/src/app/[locale]/(main)/schools/[id]/_components/school-academics-tab.tsx|apps/web/src/app/[locale]/(main)/schools/[id]/_components/school-ai-context.test.ts|apps/web/src/app/[locale]/(main)/schools/[id]/_components/school-ai-context.ts|apps/web/src/app/[locale]/(main)/schools/[id]/_components/school-overview-tab.tsx|apps/web/src/app/[locale]/(main)/schools/[id]/_components/types.ts|apps/web/src/app/[locale]/(main)/schools/[id]/page.tsx|apps/web/src/app/[locale]/(main)/schools/_components/BrowseTab.tsx|apps/web/src/app/[locale]/(main)/schools/_components/ResultsView.tsx|apps/web/src/app/[locale]/(main)/schools/_components/SchoolCard.tsx|apps/web/src/app/[locale]/(main)/schools/_components/SchoolFilterBar.tsx|apps/web/src/app/[locale]/(main)/schools/_components/schools-types.ts|apps/web/src/app/[locale]/(main)/schools/compare/_components/compare-fields.ts|apps/web/src/app/[locale]/(main)/schools/compare/page.tsx|apps/web/src/components/features/schools/school-display-utils.test.ts|apps/web/src/components/features/schools/school-filters.test.ts|apps/web/src/components/features/schools/school-filters.ts|apps/web/src/components/features/schools/school-recommendation.types.ts|apps/web/src/components/features/school-selector.tsx"
"averageNetPrice","web_school_pages","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/web/src/app/[locale]/(main)/schools/[id]/_components/school-overview-tab.tsx|apps/web/src/app/[locale]/(main)/schools/[id]/_components/types.ts|apps/web/src/app/[locale]/(main)/schools/_components/schools-types.ts|apps/web/src/app/[locale]/(main)/schools/compare/_components/compare-fields.ts"
"deadlines","web_school_pages","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/web/src/app/[locale]/(main)/schools/[id]/_components/school-academics-tab.tsx|apps/web/src/app/[locale]/(main)/schools/[id]/_components/school-overview-tab.tsx|apps/web/src/app/[locale]/(main)/schools/[id]/_components/types.ts"
"description","web_school_pages","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/web/src/app/[locale]/(main)/schools/[id]/_components/school-cases-tab.tsx|apps/web/src/app/[locale]/(main)/schools/[id]/_components/school-community-rating-card.tsx|apps/web/src/app/[locale]/(main)/schools/[id]/_components/school-overview-tab.tsx|apps/web/src/app/[locale]/(main)/schools/[id]/_components/types.ts|apps/web/src/app/[locale]/(main)/schools/[id]/page.tsx|apps/web/src/app/[locale]/(main)/schools/_components/BrowseTab.tsx|apps/web/src/app/[locale]/(main)/schools/_components/ResultsView.tsx|apps/web/src/app/[locale]/(main)/schools/_components/SchoolFilterBar.tsx|apps/web/src/app/[locale]/(main)/schools/_components/SchoolGrid.tsx|apps/web/src/app/[locale]/(main)/schools/compare/page.tsx|apps/web/src/app/[locale]/(main)/schools/page.tsx|apps/web/src/components/features/schools/AdvancedSchoolFilter.tsx|apps/web/src/components/features/schools/SchoolRecommendation.tsx"
"essayPrompts","web_school_pages","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/web/src/app/[locale]/(main)/schools/[id]/_components/school-academics-tab.tsx|apps/web/src/app/[locale]/(main)/schools/[id]/_components/types.ts|apps/web/src/app/[locale]/(main)/schools/[id]/page.tsx"
