schoolId,schoolName,assetId,gap,action,severity,disposition,closureState,nextAction,consumerPolicy,route
cmn1htkoc000lvqf2s5pgbhxx,Georgetown University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htkoc000lvqf2s5pgbhxx/media
cmn1htkp4000wvqf2ah317ku6,Georgia Institute of Technology,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htkp4000wvqf2ah317ku6/media
cmnwr8ita003iz0ti7ezibmu3,Georgia State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ita003iz0ti7ezibmu3/media
cmnwr8iuk0040z0ti7p8v604n,Gonzaga University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iuk0040z0ti7p8v604n/media
cmnwr8iws0056z0tial92bfrt,Grand Valley State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iws0056z0tial92bfrt/media
cmnwr8ivb004ez0tiduer8l0n,Grinnell College,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ivb004ez0tiduer8l0n/media
cmnwr8iv5004bz0ti94b7ow5h,Hamilton College,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iv5004bz0ti94b7ow5h/media
cmn1htkn60002vqf2r731l78m,Harvard University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htkn60002vqf2r731l78m/media
cmnwr8iwe004zz0tilegv5ian,Harvey Mudd College,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iwe004zz0tilegv5ian/media
cmnwr8iv7004cz0tiy7lyda2g,Haverford College,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iv7004cz0tiy7lyda2g/media
cmnwr8iqp0029z0ti2wbplonv,Hofstra University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iqp0029z0ti2wbplonv/media
cmnwr8iu3003vz0tig0fa53lf,Howard University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iu3003vz0tig0fa53lf/media
cmnwr8iss003cz0tia71q9qy1,Idaho State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iss003cz0tia71q9qy1/media
cmnwr8inb000sz0ti3r4uwfjt,Illinois Institute of Technology,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8inb000sz0ti3r4uwfjt/media
cmnwr8iqm0028z0ti63txqxzg,Illinois State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iqm0028z0ti63txqxzg/media
cmnwr8iml000ez0ti01wzdugn,Indiana University Bloomington,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iml000ez0ti01wzdugn/media
cmnwr8itm003nz0tiqazikwxi,Indiana University-Purdue University Indianapolis,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8itm003nz0tiqazikwxi/media
cmnwr8ipc001pz0tiz0bgth66,Iowa State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ipc001pz0tiz0bgth66/media
cmnwr8iwp0054z0tic1mh49ba,James Madison University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iwp0054z0tic1mh49ba/media
cmn1htknl0009vqf255v6mh7y,Johns Hopkins University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htknl0009vqf255v6mh7y/media
cmnwr8iqc0023z0ti60klqjhy,Kansas State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iqc0023z0ti60klqjhy/media
cmnwr8ir0002fz0tiuxlv8v32,Kent State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ir0002fz0tiuxlv8v32/media
cmn1htkq9001avqf25ziy94gn,Lehigh University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htkq9001avqf25ziy94gn/media
cmnwr8iq1001yz0ti1jb6g7hi,Louisiana State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iq1001yz0ti1jb6g7hi/media
cmnwr8ind000tz0timgwcy8hj,Loyola Marymount University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ind000tz0timgwcy8hj/media
cmnwr8ipa001oz0tionb7y3gm,Loyola University Chicago,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ipa001oz0tionb7y3gm/media
cmnwr8iwc004yz0tif1a6h2el,Manhattan School of Music,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iwc004yz0tif1a6h2el/media
cmnwr8inl000yz0ti6wsiqcrv,Marquette University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8inl000yz0ti6wsiqcrv/media
cmnwr8iw1004sz0ti04r9dj3i,Maryland Institute College of Art,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iw1004sz0ti04r9dj3i/media
cmn1htkn30001vqf2nozenmj6,Massachusetts Institute of Technology,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htkn30001vqf2nozenmj6/media
cmnwr8imv000kz0ti6chk6fxq,Michigan State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8imv000kz0ti6chk6fxq/media
cmnwr8iv00048z0tityzi3zx8,Middlebury College,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iv00048z0tityzi3zx8/media
cmnwr8iqx002dz0tigsxpge66,Mississippi State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iqx002dz0tigsxpge66/media
cmnwr8iqf0024z0tiy29w0e1z,Missouri University of Science and Technology,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iqf0024z0tiy29w0e1z/media
cmnwr8irh002mz0tik8qulubb,Montana State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8irh002mz0tik8qulubb/media
