rowKind,id,status,summary,missing,recipientKey,campaignId,severity,route,allowedChannels,liveChannelsDisabled,frequencyDedupeKey,suppressWhen
check,consumer_closure_present,pass,Delivery monitor requires the latest consumer closure packet.,,,,,,,,,
check,top_campaign_identified,pass,The delivery monitor must identify a readiness campaign group.,,,,,,,,,
check,worklist_alignment,pass,The monitor rows should match the current top-campaign worklist rows.,,,,,,,,,
check,monitor_rows_ready,pass,Pending top-campaign rows must be ready for in-app/admin delivery.,,,,,,,,,
check,monitor_rows_anonymized,pass,Delivery monitor rows must stay anonymized by default.,,,,,,,,,
check,approved_surfaces_only,pass,Delivery monitor rows must stay on approved in-app/dashboard surfaces.,,,,,,,,,
check,live_channels_disabled,pass,"Live Redis, push, and email delivery must remain disabled in this monitor.",,,,,,,,,
check,suppression_rules_present,pass,Every delivery monitor row needs suppression criteria before display.,,,,,,,,,
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,5ae5eb179f1e2ac7fbefe938,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:5ae5eb179f1e2ac7fbefe938,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,603a434939bb7dc21d20b34b,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:603a434939bb7dc21d20b34b,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,60d790481a26df4eee94e714,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:60d790481a26df4eee94e714,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,63f122898082685cd31f91fa,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:63f122898082685cd31f91fa,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,644375925983784696322977,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:644375925983784696322977,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,655b2c81de757e32866a8351,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:655b2c81de757e32866a8351,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,678ca1b832adb663b36bef1e,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:678ca1b832adb663b36bef1e,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,68064b275ed80bc38e2a0c19,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:68064b275ed80bc38e2a0c19,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,6cf4c31bad0837d95d163c97,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:6cf4c31bad0837d95d163c97,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,6d10c3ac0f15d347fafae2d2,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:6d10c3ac0f15d347fafae2d2,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,6ddabc8ede9e3fdd4264a62a,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:6ddabc8ede9e3fdd4264a62a,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,6eafe7094d91b4c4d0d97c0e,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:6eafe7094d91b4c4d0d97c0e,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,6ed965dec9af72d76954342a,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:6ed965dec9af72d76954342a,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,6ef9249c4c0d6576e265184d,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:6ef9249c4c0d6576e265184d,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,6fefaf310a47194eac8012c4,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:6fefaf310a47194eac8012c4,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,719abda57f121a81868074ab,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:719abda57f121a81868074ab,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,7449059b02c0f987c57773ff,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:7449059b02c0f987c57773ff,SchoolListItem count > 0
